;Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
69;ES_28085_2700_2015;Miraflores de la Sierra;94872.0;2015;2700;ES_28085
70;ES_28086_2700_2015;Molar (El);100817.0;2015;2700;ES_28086
71;ES_28087_2700_2015;Molinos (Los);53353.0;2015;2700;ES_28087
72;ES_28088_2700_2015;Montejo de la Sierra;12650.0;2015;2700;ES_28088
73;ES_28089_2700_2015;Moraleja de Enmedio;134789.0;2015;2700;ES_28089
74;ES_28090_2700_2015;Moralzarzal;157755.0;2015;2700;ES_28090
75;ES_28091_2700_2015;Morata de Tajuña;122697.0;2015;2700;ES_28091
76;ES_28093_2700_2015;Navacerrada;47651.0;2015;2700;ES_28093
77;ES_28094_2700_2015;Navalafuente;12431.0;2015;2700;ES_28094
78;ES_28095_2700_2015;Navalagamella;23842.0;2015;2700;ES_28095
79;ES_28096_2700_2015;Navalcarnero;470369.0;2015;2700;ES_28096
80;ES_28097_2700_2015;Navarredonda y San Mamés;4321.0;2015;2700;ES_28097
81;ES_28099_2700_2015;Navas del Rey;37686.0;2015;2700;ES_28099
82;ES_28100_2700_2015;Nuevo Baztán;79125.0;2015;2700;ES_28100
83;ES_28101_2700_2015;Olmeda de las Fuentes;8517.0;2015;2700;ES_28101
84;ES_28102_2700_2015;Orusco de Tajuña;19141.0;2015;2700;ES_28102
85;ES_28104_2700_2015;Paracuellos de Jarama;379125.0;2015;2700;ES_28104
86;ES_28107_2700_2015;Patones;10369.0;2015;2700;ES_28107
87;ES_28108_2700_2015;Pedrezuela;61827.0;2015;2700;ES_28108
88;ES_28109_2700_2015;Pelayos de la Presa;33930.0;2015;2700;ES_28109
89;ES_28110_2700_2015;Perales de Tajuña;39271.0;2015;2700;ES_28110
90;ES_28111_2700_2015;Pezuela de las Torres;13000.0;2015;2700;ES_28111
91;ES_28112_2700_2015;Pinilla del Valle;3544.0;2015;2700;ES_28112
92;ES_28114_2700_2015;Piñuécar-Gandullas;4133.0;2015;2700;ES_28114
93;ES_28116_2700_2015;Pozuelo del Rey;9731.0;2015;2700;ES_28116
94;ES_28117_2700_2015;Prádena del Rincón;3365.0;2015;2700;ES_28117
95;ES_28118_2700_2015;Puebla de la Sierra;2187.0;2015;2700;ES_28118
96;ES_28902_2700_2015;Puentes Viejas;13735.0;2015;2700;ES_28902
97;ES_28119_2700_2015;Quijorna;31705.0;2015;2700;ES_28119
98;ES_28120_2700_2015;Rascafría;34217.0;2015;2700;ES_28120
99;ES_28121_2700_2015;Redueña;10557.0;2015;2700;ES_28121
100;ES_28122_2700_2015;Ribatejada;10827.0;2015;2700;ES_28122
101;ES_28124_2700_2015;Robledillo de la Jara;2554.0;2015;2700;ES_28124
102;ES_28125_2700_2015;Robledo de Chavela;56592.0;2015;2700;ES_28125
103;ES_28126_2700_2015;Robregordo;2391.0;2015;2700;ES_28126
104;ES_28128_2700_2015;Rozas de Puerto Real;42327.0;2015;2700;ES_28128
105;ES_28129_2700_2015;San Agustín del Guadalix;263598.0;2015;2700;ES_28129
106;ES_28131_2700_2015;San Lorenzo de El Escorial;316761.0;2015;2700;ES_28131
107;ES_28133_2700_2015;San Martín de Valdeiglesias;122706.0;2015;2700;ES_28133
108;ES_28132_2700_2015;San Martín de la Vega;356176.0;2015;2700;ES_28132
109;ES_28135_2700_2015;Santa María de la Alameda;24430.0;2015;2700;ES_28135
110;ES_28136_2700_2015;Santorcaz;6163.0;2015;2700;ES_28136
111;ES_28137_2700_2015;Santos de la Humosa (Los);24554.0;2015;2700;ES_28137
112;ES_28138_2700_2015;Serna del Monte (La);2270.0;2015;2700;ES_28138
113;ES_28140_2700_2015;Serranillos del Valle;66806.0;2015;2700;ES_28140
114;ES_28141_2700_2015;Sevilla la Nueva;129649.0;2015;2700;ES_28141
115;ES_28143_2700_2015;Somosierra;1849.0;2015;2700;ES_28143
116;ES_28144_2700_2015;Soto del Real;177787.0;2015;2700;ES_28144
117;ES_28145_2700_2015;Talamanca de Jarama;51253.0;2015;2700;ES_28145
118;ES_28146_2700_2015;Tielmes;36524.0;2015;2700;ES_28146
119;ES_28147_2700_2015;Titulcia;13672.0;2015;2700;ES_28147
120;ES_28150_2700_2015;Torrejón de Velasco;66817.0;2015;2700;ES_28150
121;ES_28149_2700_2015;Torrejón de la Calzada;185926.0;2015;2700;ES_28149
122;ES_28151_2700_2015;Torrelaguna;66615.0;2015;2700;ES_28151
123;ES_28152_2700_2015;Torrelodones;375963.0;2015;2700;ES_28152
124;ES_28153_2700_2015;Torremocha de Jarama;24580.0;2015;2700;ES_28153
125;ES_28154_2700_2015;Torres de la Alameda;178752.0;2015;2700;ES_28154
126;ES_28155_2700_2015;Valdaracete;8659.0;2015;2700;ES_28155
127;ES_28156_2700_2015;Valdeavero;18205.0;2015;2700;ES_28156
128;ES_28157_2700_2015;Valdelaguna;15872.0;2015;2700;ES_28157
129;ES_28158_2700_2015;Valdemanco;13839.0;2015;2700;ES_28158
130;ES_28159_2700_2015;Valdemaqueda;11213.0;2015;2700;ES_28159
131;ES_28160_2700_2015;Valdemorillo;151193.0;2015;2700;ES_28160
132;ES_28162_2700_2015;Valdeolmos-Alalpardo;79883.0;2015;2700;ES_28162
133;ES_28163_2700_2015;Valdepiélagos;7564.0;2015;2700;ES_28163
134;ES_28164_2700_2015;Valdetorres de Jarama;48654.0;2015;2700;ES_28164
135;ES_28165_2700_2015;Valdilecha;53371.0;2015;2700;ES_28165
136;ES_28166_2700_2015;Valverde de Alcalá;4671.0;2015;2700;ES_28166
137;ES_28167_2700_2015;Velilla de San Antonio;226290.0;2015;2700;ES_28167
138;ES_28168_2700_2015;Vellón (El);18300.0;2015;2700;ES_28168
139;ES_28169_2700_2015;Venturada;34843.0;2015;2700;ES_28169
140;ES_28171_2700_2015;Villa del Prado;76096.0;2015;2700;ES_28171
141;ES_28170_2700_2015;Villaconejos;42332.0;2015;2700;ES_28170
142;ES_28172_2700_2015;Villalbilla;159915.0;2015;2700;ES_28172
143;ES_28173_2700_2015;Villamanrique de Tajo;9133.0;2015;2700;ES_28173
144;ES_28174_2700_2015;Villamanta;32926.0;2015;2700;ES_28174
